S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24
6034	9	-0.6952419971871884	-2.8533935871592204	2.869133567202323	-2.879563947533531	-0.41024284900382985	-1.030647470740031	-0.9091978228866276	-0.2655383527840103	-1.2850916029343618	-1.959161809782105	3.425220339518892	-1.266783513197244	-0.40797090315833495	-2.93182717619066	2.3853245938259193	-3.7419964830221257	-4.417587384201879	-0.8596384781078864	1.4894404676675135	-0.16620456034105355	-2.114753170435913	-1.2634344171911285	3.1293324517740215	-0.5708362099069888	0.48445050227967285	-2.550811098437795	1.5210743999492262	-3.1950656383735248	-0.09022347810369678	-2.821924882874146	2.046792986617336	-3.7623457124459656	-2.9164243849264953	-0.990469101716679	2.654805563692571	-0.3241956269500983																																																												
583	2	-0.8700987640844603	-0.15194633468840138	4.798044961561066	-5.472577454659126	-3.090428361592769	-5.424343602072538	4.615523755820871	0.7368610824740618																																																																																								
9931	2	-5.209741909208026	3.9930697236097346	-6.767098208046025	4.13059088656701	-0.06774539312912789	-1.239294156187018	-7.912911727935592	6.790031381169733																																																																																								
7052	2	3.554555947505316	-6.348105753666913	-7.2813086721695885	3.118462529340284	-1.2629336738322292	-0.09530269994400108	-7.997292148742004	3.6088465712501168																																																																																								
8159	2	-3.6669911077029536	1.5932058519265793	0.6345692493211678	-3.5878209709603897	-3.6205290349850365	-4.125685852702302	0.3948138113745108	3.276761623106782																																																																																								
9897	24	-3.941128574703836	-0.2944303018247956	7.129596045878159	-0.07472766599642071	0.68052370602182	-0.9115967953829872	1.6055237338304933	-2.625620464751263	-4.081868868741217	-0.02954669731746893	7.0885017416444445	-0.13674574796725095	-3.2173161499529317	1.259840973088443	6.336358983346516	-2.1468572796676866	-2.8948858027415194	0.7855048629640412	6.139610442122584	-2.6809047023295602	-4.001505017090167	-0.18508983175204047	7.114626441594306	-0.09440294913541811	-4.65164927525855	1.273477742044821	6.798467398995825	-0.8870941088217206	-4.3975940010134185	0.6801444795321892	6.951848740531399	-0.4692719278554011	-3.529679656866967	1.5273025463344514	6.457127983616037	-1.8181638809921785	-3.870405524627049	-0.41572516216928324	7.1408459541132085	-0.06145886616796366	-4.5997781820054175	1.4713603351145266	6.721224538487414	-1.0980303740746926	-4.205682169089899	0.23598336041259219	7.039021956978898	-0.24260366469050026	-4.284784310717346	0.41857796526099533	7.004113778364126	-0.3302517014349611	-4.65171894668068	1.3894449419065484	6.7560930348793	-1.002815786518511	-3.424717138903124	1.455161268696814	6.42165782908031	-1.9147157801880175	-4.346466370474062	0.5625693637877753	6.975861060533235	-0.40476777469631425	-3.4685695145039976	-0.9150833953179832	7.075438046029749	-0.07556527331467883	-4.31099125036764	0.479857914196177	6.992205710256726	-0.3614051573437108	-2.8436458168935093	0.686384054873156	6.097563412891776	-2.792448179612596	-4.040320739226034	-0.11152092565061819	7.102780046038481	-0.11230354743336346	-3.853393512731813	1.6475561314368052	6.5452729646668795	-1.578067724251477	-3.7233932921410755	1.6170260020762224	6.512971614721677	-1.6660834985341098	-4.424390762724637	1.572097267025461	6.6685495319678685	-1.2418300043568915	-4.162490413645311	0.13985506288378144	7.057196287102554	-0.2004596110037443
2250	3	0.9066577294034602	-4.233772295541302	2.885197909414331	-5.146891159892342	3.247408139695291	0.7186770895661135	-4.932084607315194	-1.409882977225314	1.4045759482943914	-5.870345959627522	-3.8096955006512596	1.482751235336659																																																																																				
4641	1	-4.149855826093083	-8.081913100856267	3.379965194897103	2.7073904077897244																																																																																												
9486	1	2.5038853698002477	-4.904869154606398	1.6678829751904283	-5.904988252492401																																																																																												
4948	1	-7.021090655615779	3.2710894148716556	-9.096188969800771	1.2361165617602616																																																																																												
9921	3	-6.91164590590881	3.739472895021488	2.4469872144322067	-3.909776580251343	-0.7530370622907433	6.924881511775217	-1.8013568359668026	-4.607302846589992	-7.0682304947665	-1.5661084792020454	1.4175460107441353	2.1719705342437936																																																																																				
1964	1	-8.983048205806721	1.2933892775564189	-6.887453881572274	1.6181819612192143																																																																																												
8244	2	2.157093810012084	-4.703337511242756	-3.649906988394431	1.0357130579430265	3.118875852171795	1.8918614710595538	-4.874130645576539	-4.67148252915496																																																																																								
6591	1	4.922006874252745	1.684067007227733	-4.850821610383897	-6.369801371712981																																																																																												
8848	1	-5.591061463343689	0.4972844847533572	4.112455028421958	-4.666625095410436																																																																																												
322	3	-4.747368888326335	2.418581721359964	-4.586737920633723	4.822589576715039	-4.910490881481392	-2.620215085890307	1.3796725578209608	3.9911203685682595	1.6112180549502053	1.3932822281887507	-5.806366489749112	-1.2858784329713675																																																																																				
2679	2	1.1366211831722965	3.098438408846788	-4.721668208580219	-6.326892110574892	-2.2048504479369657	5.570349556281733	0.3420012712833377	-11.926960581357221																																																																																								
4626	1	2.9709568487435263	1.7148895973571963	-8.408088162348186	-9.281278477278194																																																																																												
4950	2	5.747020960033515	-5.4633543915231515	-5.071503576074044	0.5191563027818205	5.0152752158872955	-7.7577812645719195	1.20441053367644	-4.487333913365183																																																																																								
8329	2	-5.223887421435043	-5.203463065523424	0.6024449859677975	1.2374841238264178	-5.123849454745186	4.053548157090443	-3.5643182498002224	0.453369556421763																																																																																								
3338	2	4.329230728705953	-4.3483639362372255	-5.399826976894557	1.6723719688735652	-2.187262773829662	-6.018894398154962	1.134167944190672	1.266065551905922																																																																																								
5590	2	2.8947309996854584	-7.033097713386818	0.4487471997459963	-9.628895189291413	0.44655695136423446	-7.335103490352709	2.5359280299193094	-9.004266765682381																																																																																								
