S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24	A_ss25	B_ss25	C_ss25	D_ss25	A_ss26	B_ss26	C_ss26	D_ss26	A_ss27	B_ss27	C_ss27	D_ss27
8244	2	2.157093810013961	-4.703337511241649	-3.649955295648435	1.035713057944743	3.118875852171795	1.8918614710595538	-4.87413064614015	-4.67148252915496																																																																																																				
6591	1	4.922006874252746	1.6840670073071193	-4.8518288549562545	-6.3698013717967115																																																																																																								
8848	1	-5.591061474241595	0.4972844882383527	4.109586372517643	-4.666625095771674																																																																																																								
322	3	-4.747368888326332	2.4185817213599585	-4.586742419386878	4.822595951766149	-4.910490129861388	-2.620214885984528	1.3796715962207922	3.991120364887081	1.6112184153529021	1.3932665647512104	-5.809080645170658	-1.2858726806182528																																																																																																
2679	2	1.1366211831722977	3.0984384088461057	-4.7217025416305045	-6.326892110351423	-2.2048504463795457	5.570349557332111	0.34200127107098527	-11.926960581346078																																																																																																				
4626	1	2.9709568487435263	1.7148895973571963	-8.417965650129714	-9.281278477278194																																																																																																								
4950	2	5.747020960033515	-5.4633543915231515	-5.07150357607405	0.5191563027818205	5.0152752158872955	-7.75778126457193	1.20441053367645	-4.487333913365195																																																																																																				
8329	2	-5.223887421435042	-5.203463065523779	0.602444985967457	1.2374841238270844	-5.123849454745186	4.053548157090443	-3.5643182498002295	0.453369556421763																																																																																																				
3338	2	4.329230728705953	-4.348363936237222	-5.399826982706246	1.6723719688735657	-2.187262773829634	-6.018894398155089	1.1341679441905246	1.266065551905922																																																																																																				
5590	27	6.183270504028594	-3.4363400662897385	-0.9057698301653792	-6.929861004796819	6.338028709164969	-2.739481797365643	-1.127441620772935	-6.942310773169242	6.768640686858194	-7.41980348757917	-1.0490353192715756	-3.707563439436497	2.894931699566233	-7.03302018232578	0.4487100025542663	-9.628894639465088	0.4465569597638765	-7.335103503364241	2.5359216762616286	-9.004266786070056	6.694108634331026	-8.008606667169396	-0.36730480212856165	-4.411740106520294	6.483293731717011	-2.0932225760730256	-1.428351838456964	-6.456615586963661	6.081312279215354	-7.9942245097032165	0.07516490388289401	-5.3523761199615025	6.1412964260843586	-3.6200644213244204	-0.8557323903268436	-6.903456651586641	5.694677566258549	-5.330543789695023	-0.4379404625141835	-6.566675167630377	5.445444684679681	-6.260195115865196	-0.163135554902818	-6.303742765227239	6.611979375423895	-1.701572598871815	-1.8766663848866119	-5.197985550851988	6.363856765026539	-2.622479422660388	-1.1723179595466788	-6.913023792740307	6.725023198797118	-7.869501571965938	-0.4656729967157026	-4.283268791233085	6.453963170862288	-2.220472260411891	-1.3562859763576023	-6.633774445286049	6.414937624532519	-2.3929494520057473	-1.2706058232717532	-6.796838212978797	6.043689557815359	-7.909861582417435	0.08655866960284427	-5.392960180394528	5.818487693406686	-4.898201466739974	-0.5435438936285613	-6.661967917068845	6.390958632339262	-2.5002877264783914	-1.222737090580763	-6.862794374056117	6.6738353954627865	-2.2213397436911895	-2.2541811910617824	-4.534185708900299	6.254577665634094	-8.323074514048194	0.012705868949896115	-5.156321864407453	5.877821493650773	-7.5478027323568755	0.12730798468319687	-5.56683689253727	5.662620985928045	-5.439711552561166	-0.410071693256354	-6.541010838802586	6.748375007954471	-7.711185042534549	-0.6023430473664783	-4.125607981280016	5.938828163928943	-4.450629370140166	-0.649655010863119	-6.753257514865102	6.51388196998164	-1.9634150573475109	-1.5122682560863192	-6.218044580475038	6.311947851927923	-2.8578709044035264	-1.0848761748231437	-6.958094037703178
252	3	0.18714384962223887	2.8170045489602487	-4.689782405194348	-6.160754420814821	-5.01065387959666	3.8637791605131904	1.1227323603745665	-7.841756521727319	1.9466720178923962	-1.9856371017719445	-3.3870624776015372	0.2451458507456505																																																																																																
3974	3	-5.413584193852619	-4.405836066607421	6.093205082888792	2.9738806637216677	-4.256331582746952	0.755624335645789	-0.2096872100651778	5.074406132313002	2.2193042034690516	3.3802319822153093	-5.9755012870044455	-3.0619376566156555																																																																																																
6631	2	7.136095857271777	-4.190724931459955	-8.923637990726931	2.0420223527397727	2.1079750302239946	1.165423983304824	-9.467600804086588	-2.87950049168156																																																																																																				
5548	2	-0.28038801781395417	-10.56022230809987	-3.591139087688434	1.7243217698856508	-3.794686961825022	-5.968740693703241	0.20364589079612438	1.3363956879452448																																																																																																				
36	2	2.2828349345415426	3.1020578986380816	-2.8606799927458146	-6.689842762457662	4.989210010801972	-2.243377462281176	3.1638438017361246	-6.588928585627295																																																																																																				
8363	1	-0.831843114709419	6.855459143765487	-1.3783082341682023	-8.516299068902095																																																																																																								
1514	2	1.043900467927217	4.4831273892108445	-6.306911015561745	-3.2669621451755004	-1.1645433026816077	0.5006648075482949	-9.436306495268889	1.1062671608172434																																																																																																				
9318	2	-7.478424704883437	1.6507771890946195	3.555092696181288	-6.041170546679683	-6.594833717381051	-2.2565370754253435	4.32959523098094	0.10636670264045228																																																																																																				
40	3	-4.170451955790095	1.0328961113672954	1.496205061114329	-9.178676572763647	0.7933680646108161	0.2886804160910978	-2.1276805445100297	-5.156358400759434	1.7838921000888648	-5.196662198820166	1.6380052057414092	-9.199877152117754																																																																																																
4820	1	-2.61866585627959	0.8882011454727577	2.17754690022359	-5.3275733146378075																																																																																																								
3466	2	-4.240333363430877	2.5064895861211722	-4.537665298171534	0.9175890265023022	-6.963271254373259	2.13553989788786	0.5206707875815572	-2.3052320148215526																																																																																																				
1761	2	-3.3760130762499707	-7.1075001668058775	2.804546375912826	5.316289122608796	1.11491349295889	-6.3033245854740025	-2.9890311182834233	2.062727397197237																																																																																																				
2305	3	0.44618293782515245	-3.6668831588334005	-3.5436745544060257	3.2482260273887347	2.284122933028611	1.4065386648394194	-3.6846000682940026	-2.0234040498572288	-3.8752214417991198	2.2160219534943066	-3.9501386837373533	0.7727725778293202																																																																																																
3724	3	-4.623561379833414	0.18073293074757987	1.0317121594016636	-3.8378831629550927	0.314168978092391	-3.738829929813551	2.53384027506855	-5.507843550695788	-7.91521860659495	0.07482999979781411	-4.066225028042577	5.569431686836689																																																																																																
8285	2	0.5158190482548063	2.435005511524789	-3.455488561369291	-6.370718074063941	-2.050853432894105	-0.8525336883880202	1.1356662622222022	-4.27822944802986																																																																																																				
4994	2	6.304891221172893	-8.218116138282324	0.6056577829247126	-3.0997607484115326	8.081935102509773	-0.6627137586778304	-5.579808434585939	-3.3533063511177965																																																																																																				
8128	2	1.2791398885534018	-5.573839776084097	1.9273770849612057	-4.937174037601848	1.1592372061614253	-5.032377325187618	-4.402347186767912	1.3145418915086717																																																																																																				
3033	9	-4.999401497158809	2.4690928895760043	3.452870054784302	-4.462945325388731	4.3079717250183895	-3.230596000424142	1.113275588644557	-6.02334987504089	2.7839440936812667	-3.5151698974361985	1.5502534771485883	-6.026447687547356	-6.096902592806509	-3.7548176767735857	5.04685029793864	0.22359038494118966	4.682660490829014	-3.148023694673037	0.9380855978313186	-6.02217539116068	3.6079456399353633	-3.368255650866574	1.3595367217949275	-6.025026020436759	1.136250313573052	-3.6479471163538935	1.7384648188998395	-6.027788350004593	3.370971088945093	-3.411783088083119	1.423770440496426	-6.025484948293166	0.7564457415144936	-2.0256927422621733	1.1144940916965302	-6.0054162527137445																																																																								
7939	1	3.6288709129254735	-5.085950743583553	-7.309457432443332	4.887468659332341																																																																																																								
3040	1	2.2023728722038283	-5.46801275124526	-4.8074949952471515	3.826610761812326																																																																																																								
9656	2	1.9869496791198087	-7.175821245935548	-3.4265690353647638	3.225849585081176	3.062018596357035	-0.7072825599961584	-2.8828511471484144	-1.9126818134929293																																																																																																				
2546	2	8.682826154500974	-2.206154402802278	-3.3845414815736516	-3.5674542316653213	4.050763371973984	-3.1070615073108554	1.0137574303599197	-9.525847986097723																																																																																																				
2593	1	-2.7500610804441314	-5.151449730874778	0.6319423810132186	0.6504545053430272																																																																																																								
1189	1	-4.62151463490599	3.713036822589075	-2.2338496366971596	1.6132637422220877																																																																																																								
7967	1	-4.651175098800071	6.299869162130265	7.364275751565785	-5.403772317740202																																																																																																								
6078	3	1.2639339225017365	-7.212891538184379	1.7415928167783576	-4.817628058275458	1.523952110265754	-5.147030340897365	-4.585316397846164	0.9605934495849486	-4.782907661428151	-4.500292855423314	1.1039415124364675	2.684622143680097																																																																																																
108	3	3.8685935908412716	-4.709311046682871	0.9684236105836259	-5.32661842143998	-3.942725493617911	-4.158168063571509	4.622015736718543	0.19561264991421332	-1.4985195922470327	1.8696488011373784	2.912567182130121	-6.94411276994389																																																																																																
1316	5	-1.1209480502437212	-3.6990857357146596	2.3931732537012054	-7.432974584223163	1.0995000888834474	2.5852332264950553	-3.117571385437986	-7.036362784594474	-5.402230139409941	0.3579094354426267	1.6027038108449243	-2.590182668425842	-5.4052112292443555	0.11664142286867328	0.807307722009955	-1.2902149271911514	-5.40077781385816	-0.05243669046893465	2.0827265461261106	-2.31413714652696																																																																																								
8188	2	-2.9178637791643474	0.9562293926417873	-5.400058618820061	4.911496888691013	3.0238489805450626	-2.580655915458211	-11.444067630713267	1.0543002569419544																																																																																																				
2754	2	-3.2913667511824958	0.40111229839731394	-3.0413757483652386	5.899234287983142	-6.769606171496516	-3.3433482857176804	0.9156197862482286	2.676174476357749																																																																																																				
