S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24	A_ss25	B_ss25	C_ss25	D_ss25	A_ss26	B_ss26	C_ss26	D_ss26
5189	2	4.476881070855592	1.5585245149008378	-5.209640393101615	-7.9561764196214675	1.747308029561553	-4.298186692579225	1.2456071170173886	-7.6674412078143135																																																																																																
3459	2	1.2313547672899836	-5.430256854903933	1.326439110513092	-3.550360107580297	3.873525843547724	0.36205467874986014	-2.0543916260538735	-6.930196874194814																																																																																																
3049	3	-5.700345906649259	-5.270645641158924	1.4405016471227368	4.167234789382783	0.6094288719815109	-2.873224383015883	-2.2771170595764736	2.62957875710067	-5.996345867877623	1.1547154524848775	-4.114467056409134	2.370705500885491																																																																																												
7558	2	-3.584075837475581	2.030487354172381	2.221866651824852	-2.359170141503128	2.264131940885252	1.683908128036052	-0.9880123271339797	-8.744456005970743																																																																																																
3525	1	-3.334537668078218	3.096161820243081	-0.018982905123852246	-3.514175162650609																																																																																																				
1685	2	-6.268597619369871	0.4490067863770207	2.899007749389703	-9.65424295076214	-0.003919870668880827	-1.559300116903249	5.419033415561909	-4.630044835294151																																																																																																
8462	2	-7.698093451084632	-1.5940509385768917	3.6400657586728635	3.2805298419532676	-7.597228161800992	1.2006778070129263	4.054520065312477	-2.8259301604202043																																																																																																
8815	1	3.431563176613148	-4.560405795855155	3.763799966926677	-5.513587272507525																																																																																																				
5644	2	-2.600276600900288	-9.286677922851672	9.273208726329484	-0.27124392452841295	0.38414701970563225	-3.7256929038721935	8.785061215255936	-3.356600782011833																																																																																																
9260	1	-12.533583902045278	3.485319808889464	2.04054266730583	-4.0664124910464805																																																																																																				
