S_no	n_states	A_ss1	B_ss1	C_ss1	D_ss1	A_ss2	B_ss2	C_ss2	D_ss2	A_ss3	B_ss3	C_ss3	D_ss3	A_ss4	B_ss4	C_ss4	D_ss4	A_ss5	B_ss5	C_ss5	D_ss5	A_ss6	B_ss6	C_ss6	D_ss6	A_ss7	B_ss7	C_ss7	D_ss7	A_ss8	B_ss8	C_ss8	D_ss8	A_ss9	B_ss9	C_ss9	D_ss9	A_ss10	B_ss10	C_ss10	D_ss10	A_ss11	B_ss11	C_ss11	D_ss11	A_ss12	B_ss12	C_ss12	D_ss12	A_ss13	B_ss13	C_ss13	D_ss13	A_ss14	B_ss14	C_ss14	D_ss14	A_ss15	B_ss15	C_ss15	D_ss15	A_ss16	B_ss16	C_ss16	D_ss16	A_ss17	B_ss17	C_ss17	D_ss17	A_ss18	B_ss18	C_ss18	D_ss18	A_ss19	B_ss19	C_ss19	D_ss19	A_ss20	B_ss20	C_ss20	D_ss20	A_ss21	B_ss21	C_ss21	D_ss21	A_ss22	B_ss22	C_ss22	D_ss22	A_ss23	B_ss23	C_ss23	D_ss23	A_ss24	B_ss24	C_ss24	D_ss24	A_ss25	B_ss25	C_ss25	D_ss25	A_ss26	B_ss26	C_ss26	D_ss26	A_ss27	B_ss27	C_ss27	D_ss27	A_ss28	B_ss28	C_ss28	D_ss28	A_ss29	B_ss29	C_ss29	D_ss29	A_ss30	B_ss30	C_ss30	D_ss30	A_ss31	B_ss31	C_ss31	D_ss31	A_ss32	B_ss32	C_ss32	D_ss32	A_ss33	B_ss33	C_ss33	D_ss33	A_ss34	B_ss34	C_ss34	D_ss34	A_ss35	B_ss35	C_ss35	D_ss35	A_ss36	B_ss36	C_ss36	D_ss36
7268	36	-2.1225852316565224	-4.247051637529292	6.605765339981772	-0.9816230986142809	-4.572021460533622	-3.977992817910837	6.104636819262959	-0.07285946279058068	-2.7212393080654467	-2.6368196487373363	6.54774789026706	-1.4230043349607586	-3.9597038218093767	-1.8029569381419732	5.380486611015068	-1.4420749448589336	-2.362015142446078	-4.440351046590082	6.588638602017665	-0.8960887909649987	-5.369310525153192	-2.644909718035011	4.574719700932787	-0.6065125992693952	-1.766992631894614	-3.9071466558260863	6.622343750278856	-1.098870618415884	-2.869867420759675	-4.789082132429074	6.388531459246698	-0.4669876400788859	3.568470242269752	-5.330783376282489	-5.154791375805725	3.1125155855527358	-5.827989737938912	-3.0115528039576893	5.287532789107878	-0.43559407847710807	-2.944796040991794	-2.466216619463432	6.434864902408363	-1.4626764232581366	-3.5833031540891085	-1.986978378952737	5.83233712708067	-1.554789612803468	-3.3802703481364254	-2.13512473536796	6.0549172063203125	-1.535773352848103	-4.996111258113815	-2.3617728916836582	4.408417467089245	-0.7651944103938565	-3.4227193590471394	-2.103390332739098	6.010046414090884	-1.5414986993027515	-2.928186596487451	-4.76560132403421	6.323618882900208	-0.38962228533146065	-5.703282523750229	-2.907311307084628	5.086225150538073	-0.48127039733463206	-4.5792388554827355	-2.0600806286952222	4.683882981135208	-0.9847907165309407	-3.4660542646082204	-2.071293189517557	5.963264039015931	-1.5466322678406472	-3.0889169287578553	-4.6546064943691565	6.1746977644130006	-0.23465922089463528	-4.264016475349149	-1.8662897640114862	5.011245810277447	-1.203512128587242	-5.598629277620239	-2.8234817431585326	4.913321264310694	-0.5195376230996887	-3.8589115027698995	-1.829496871716412	5.5049345723523775	-1.5003207574826722	-5.283991475852692	-2.5794785415577466	4.486666423644711	-0.6405866413837124	-6.021791408139343	-3.4910207276804712	5.895860153814219	-0.24579691388323155	-4.1146924863844205	-1.8104180334183588	5.1888552458258435	-1.3242372447345976	-2.66800593370664	-2.677495553905956	6.565672751011775	-1.413516871298746	-3.691139201845644	-1.9155075408495692	5.707104424382826	-1.5496727489591124	-2.709251499278644	-4.732266551677127	6.5166415008035985	-0.677976750354319	-2.8958121643253176	-4.780950002543158	6.359715158582245	-0.4312519561039577	-3.549509545097751	-2.0107781481197633	5.870676772895971	-1.5535441386228679	-2.8726688428585674	-2.521245663537678	6.478224230746541	-1.4499040861370853	-2.9822398914234958	-4.731887164781566	6.266458418459678	-0.32848571809975574	-3.010762935224412	-4.711887614584516	6.238916301329279	-0.3002508652522531	-2.986952117767519	-2.434053483650183	6.40649213281129	-1.4701238443226243	-5.942287392892152	-3.1166172131492624	5.465614401238263	-0.3914277932257993
2776	3	2.2394316715590157	-4.255026553763548	-2.8269452579476138	3.2874345049043745	3.8628796119440048	-4.599278095558765	3.1264092374153685	-2.540599229072036	-2.3690017545905797	1.913494024691056	-5.143406198690707	1.8864914392882757																																																																																																																																				
9046	5	-4.9978270808367	1.516355750342514	-5.35841999114894	1.5952503374653868	1.2872967675631175	-4.645739889205195	-6.234584895173502	1.3427969230003702	-0.2735897058689361	2.9003475693399103	-9.042990636206344	-1.3745575912646844	2.6336575617022167	-4.747082657041411	0.025437000383821858	-4.396675614886748	-6.704963453875216	1.4196115403826497	0.9167692948871925	-4.258501153502658																																																																																																																												
9949	2	-0.3489522150155125	1.8991517885618499	-1.645874337560722	-6.848547624091149	3.0648729822317726	-4.431505729282775	4.554866190750339	-6.892585243654529																																																																																																																																								
859	1	7.449092853715247	-2.240626332790874	-5.241412315797616	-0.6904899560205371																																																																																																																																												
8271	2	-2.951407894915225	4.7042421618228865	-7.643530947544424	0.19253679966966977	2.2687373737162475	1.8683654924240418	-8.378191761165422	-5.115452098862189																																																																																																																																								
852	2	-5.121114438144775	2.6530711979758608	-5.8280945977243075	1.8301246575292334	-5.146789277643817	1.6653008469612267	0.731445056038911	-3.294397992602915																																																																																																																																								
4247	1	-5.55657717597337	3.402491578328173	3.7137839004872997	-4.031786155454964																																																																																																																																												
5565	1	2.830364062782698	3.5627310640683625	-5.688255979780918	-8.013936462805066																																																																																																																																												
3552	2	4.202095042148886	5.0917884881042035	-7.89248785322821	-4.450384322157085	-2.169379474598189	0.5794442893320162	-6.974050818686899	4.192090211775884																																																																																																																																								
1676	3	3.566539463301625	1.4898264355455275	-6.399349673799803	-4.522206580203415	-2.18276690423434	2.1755928767354513	-4.482114150088376	1.660718056132044	-2.2413345510401115	7.37270346740538	-0.8091356797185242	-3.5013140033473857																																																																																																																																				
3580	2	-0.16740339347740504	-5.394076528588427	6.588615373799922	-0.6310987615532527	-4.006648443996444	1.170397857435015	1.1301807906162553	-7.057298984762339																																																																																																																																								
5399	1	2.780223358252818	-5.790064592824127	1.389115848608779	-4.319312174650355																																																																																																																																												
9851	3	1.3228840665944348	-5.187675415002615	-4.014963827386422	1.726655889217264	4.318403702465541	-6.0817535336496205	1.8064930296823236	-4.688444598972211	-0.4875850513937537	-11.108830284956003	3.107170925763601	0.8971549600330889																																																																																																																																				
6501	1	1.84261257139037	-4.1212969445992105	-6.865683522225643	1.743505894001543																																																																																																																																												
4025	2	3.588350522414243	-9.538102514256495	0.6889285599750831	-6.07967233190187	1.5081919444296699	-5.364761346310455	-5.142585759993335	0.06464048677658792																																																																																																																																								
9231	3	-3.900392498106459	1.643015290127942	3.8373600809290753	-8.760241432714222	0.6536379063274537	5.619321081464183	-1.3527541049168406	-9.630131347582456	2.3116971669606072	-3.7546296924536233	1.1545354340890193	-9.787570546560984																																																																																																																																				
3236	2	-2.4047505954478723	-5.220024303665191	1.4966665207627556	1.778855771656235	3.7789958322094144	-4.355063379465079	-4.2782801173456475	1.5144778007062354																																																																																																																																								
4878	2	1.2449092638758965	-5.200714126441001	-1.75207231458292	1.6250267856888747	-4.6720624424005335	-3.54582447543895	2.720526685894591	2.0870513385986227																																																																																																																																								
4305	1	5.621272502463986	-7.181565220503603	-7.232963911065181	2.486535450042493																																																																																																																																												
1733	2	3.2099259598141976	-5.24994698663703	-8.16711824804883	0.19544600379071603	-3.9735057394628672	1.1604656276218928	-7.665472080263487	1.5384024862756205																																																																																																																																								
5524	1	4.449317483059765	4.449681300677023	-3.539930258464458	-4.360686724913512																																																																																																																																												
585	1	-5.057876132596614	-0.2638554049022817	2.6078792407315623	-7.827633549377085																																																																																																																																												
4930	2	4.1831891087795405	-3.174907269057621	5.124300801441367	-4.234746874491251	-2.360863225835156	1.5577430027401047	2.9009379423777446	-4.402540302976629																																																																																																																																								
271	1	2.3564699301603187	0.29247447308058927	-6.8605837719147	-7.701235186189847																																																																																																																																												
2264	3	0.4038727258135207	-6.790105852872858	6.9160415093224294	-1.396500416119046	-5.823160821512505	-3.507289460279092	4.236290958842763	0.8503024304619806	-4.898770303596497	1.0561225287525482	2.725837668851942	-4.002620950833233																																																																																																																																				
8308	1	1.5011010398304174	4.700657561089128	-5.4315496846106495	-6.669028773600789																																																																																																																																												
7439	2	2.824575334986896	-4.9121551741830665	-0.3460229106469538	-0.0668838159882673	1.9879392496705959	-5.634132542514602	4.854735075834324	-5.925684245530529																																																																																																																																								
5907	2	-7.512339171092335	-0.9673594323381229	2.260781449603525	0.7579691481516497	-6.06570640994672	4.630598511231569	2.8229122707055248	-5.095407783724354																																																																																																																																								
3413	2	5.069169079352665	-1.876180526554016	-9.736724503471285	4.433211292238867	-0.83812319981569	-7.190143242944271	1.973215725235894	1.8103069485474994																																																																																																																																								
2882	2	-4.8039808390600145	-2.8395835480996183	4.865497875914964	0.8182429988514481	1.188811084887892	-2.816286807773591	2.320675248364664	-5.101820390977533																																																																																																																																								
8233	1	-8.52333894766071	4.129502603733882	-10.19474434089225	0.4971509279603708																																																																																																																																												
